Date,Username,User tag,Content,Mentions,link
"2022-06-26,12:54:13","sternhenri","#0","Hi Folks, We are going to start picking Privy winners very soon 🔥 ✨ 🌈  -- come see us if you'd like to live demo before we do!","",""
"2022-06-26,12:54:59","sternhenri","#0","@here","",""
"2022-06-26,12:56:31","sternhenri","#0","<@813185428751384577>","mof3078#0",""
"2022-06-26,12:56:59","sternhenri","#0","<@113884531143999490> <@579360485716131855> <@433081052987392010>","arisjan#0、imnotanoob#3549、pepecheer#7764",""
"2022-06-26,12:59:27","sternhenri","#0","<@802596858102022182> <@402217327271084053>","dorishernandez#0、yasmeen11#0",""
"2022-06-26,13:01:10","sternhenri","#0","<@875633201568161824> <@693854707298467890> <@841657844117536788> <@626885547855446027> <@798269148882665513>","kirilligum#0、devlyn.eth#0、0xmigi#0、nicoacosta.eth#0、jwpark#0",""
"2022-06-26,13:04:11","sternhenri","#0","<@955607840834330665> <@688670175511576636>","Ajay | Alchemy#3436、ellieplus#0",""
"2022-06-26,13:05:23","sternhenri","#0","Would love to see the Wellgorithm demo 😄","",""
"2022-06-26,13:24:09","mof3078","#0","Hopefully I can show the pages when you have time here is the submission through Eth NYC. I’m using Privy for social impact, storing sensitive personal application&profile information,  and government case files: https://ethglobal.com/showcase/rgo-social-impact-vr78b","",""
"2022-06-26,13:27:08","sternhenri","#0","we're here -- come by now <@813185428751384577>","mof3078#0",""
"2022-06-26,13:40:44","kirilligum","#0","coming in a bit. about to present","sternhenri#0",""
"2022-06-26,14:12:17","ellieplus","#0","hey we missed this! you still around?","sternhenri#0",""
"2022-06-26,14:34:58","astasidedown","#0","We are still around!","",""
"2022-06-26,14:35:41","astasidedown","#0","<@688670175511576636> <@955607840834330665>","Ajay | Alchemy#3436、ellieplus#0",""
"2022-06-26,16:04:07","sternhenri","#0","Thanks for the great hacks everyone! We loved meeting you all!!!","",""
"2022-06-26,16:19:15","dmfxyz","#0","Thank you!! Excited to make more things with Privy","",""
"2022-06-26,16:34:39","nichochar","#0","LFG! 👊","",""
"2023-09-13,13:36:42","awliang","#0","","","https://cdn.discordapp.com/attachments/981708984056696892/1151572177083191337/image.png"
"2023-09-16,17:18:56","awliang","#0","Hello and welcome to the <#981708984056696892>  channel <:nfteth:822186186016948314>

Feel free to reach out to the Privy Team at any point with your questions!

👀 **ABOUT**
**Privy** is the easiest way for web3 developers to onboard all users, regardless of whether they already have wallets.

We offer embedded wallets so you can seamlessly provision self-custodial wallets for users who sign in with email or social login, as well as powerful connectors for web3 natives who prefer to sign in with their existing wallets.

One library to onboard all users, regardless of where they are on their web3 journey.


🏆 **PRIZE OVERVIEW**

🥇 Best app UX ($2,500)
🎮 Consumer breakout award ($1,500)
🧑‍🔬 Integration wizard ($1,000)

**↓ Full Prize Breakdown Here ↓**
https://ethglobal.com/events/newyork2023/prizes


🔗 **IMPORTANT LINKS**
https://docs.privy.io/","",""
"2023-09-18,11:50:16","jwpark","#0","Hey folks at Privy, I just signed up for Privy access and would be great to get the key before the hackathon weekend!","",""
"2023-09-18,16:11:55","jwpark","#0","<@691128359853228053>","sternhenri#0",""
"2023-09-19,13:43:14","sternhenri","#0","Thanks <@841657844117536788> -- back to you shortly with a link so you can sign up and get a key!","jwpark#0",""
"2023-09-19,22:21:38","mjsegall","#0","gm 🌞","",""
"2023-09-19,23:03:25","jwpark","#0","gm, excited to use privy 😄","mjsegall#0",""
"2023-09-20,15:04:29","0xrla","#0","Hi! This is because of the invalid api key I guess?","","https://cdn.discordapp.com/attachments/981708984056696892/1154130984984387655/Screenshot_2023-09-20_at_21.02.42.png"
"2023-09-20,17:22:33","mjsegall","#0","Hi <@653982281156919345>! 

Unfortunately, <@763089114060292096>vy-io/react-auth isn’t compatible with React Native yet, which is the issue you’re encountering - it’s only built for the web. We do have a React Native SDK in the pipeline but it unfortunately won’t be ready ahead of the hackathon this weekend 😞


If you’re looking to build for mobile, consider building a PWA instead? It may actually be easier to prototype with for hackathon purposes. We just released a blog post and starter repo to help folks get started!

https://www.privy.io/blog/progressive-web-apps-in-crypto

https://github.com/privy-io/create-privy-pwa","pri#8371、0xrla#0",""
"2023-09-20,20:55:01","jwpark","#0","wondering if I can get API key (already signed up) before Friday so the hack goes smoothly on the day 👉 👈","",""
"2023-09-20,22:37:22","mjsegall","#0","DM'ing you!","",""
